School,Dept,Major,no. of Students,year,semester name,slot no,semester number
SECS,EEE,BSc - Electronic and Telecommunication Engineering,8,2019,Summer,1,2
SESM,EMgt,BSc - Environmental Management,2,2019,Summer,1,2
SESM,ESc,BSc - Environmental Science,12,2019,Summer,1,2
SECS,PhySci,BSc - Mathematics (Hons),1,2019,Summer,1,2
SLS,SLS,BSc - Microbiology,23,2019,Summer,1,2
SECS,PhySci,BSc - Physics (Hons),1,2019,Summer,1,2
SLASS,LAW,LLB - Laws (Hons),27,2019,Summer,1,2
SESM,Phar,B.Pharm - Pharmacy,65,2019,Summer,2,2
SLASS,ENG,BA - English Language Teaching,6,2019,Summer,2,2
SLASS,ENG,BA - English Literature,7,2019,Summer,2,2
SoB,BBA,BBA - Accounting,24,2019,Summer,2,2
SoB,BBA,BBA - Finance,36,2019,Summer,2,2
SoB,BBA,BBA - General Management,19,2019,Summer,2,2
SoB,BBA,BBA - Human Resources Management,21,2019,Summer,2,2
SoB,BBA,BBA - International Business,22,2019,Summer,2,2
SoB,BBA,BBA - Management Information Systems,1,2019,Summer,2,2
SoB,BBA,BBA - Marketing,32,2019,Summer,2,2
SLASS,SOC,BSS - Anthropology,1,2019,Summer,2,2
SLASS,MED,BSS - Media and Communication,6,2019,Summer,2,2
SLASS,SOC,BSS - Sociology,1,2019,Summer,2,2
SLS,SLS,BSc - Biochemistry,4,2019,Summer,2,2
SECS,CSE,BSc - Computer Engineering,3,2019,Summer,2,2
SECS,CSE,BSc - Computer Science,6,2019,Summer,2,2
SECS,CSE,BSc - Computer Science and Engineering,117,2019,Summer,2,2
SoB,ECO,BSc - Economics,3,2019,Summer,2,2
SECS,EEE,BSc - Electrical and Electronic Engineering,39,2019,Summer,2,2
SECS,EEE,BSc - Electronic and Telecommunication Engineering,4,2019,Summer,2,2
SESM,EMgt,BSc - Environmental Management,1,2019,Summer,2,2
SESM,ESc,BSc - Environmental Science,5,2019,Summer,2,2
SECS,PhySci,BSc - Mathematics (Hons),1,2019,Summer,2,2
SLS,SLS,BSc - Microbiology,7,2019,Summer,2,2
SECS,PhySci,BSc - Physics (Hons),2,2019,Summer,2,2
SLASS,LAW,LLB - Laws (Hons),18,2019,Summer,2,2
SESM,Phar,B.Pharm - Pharmacy,53,2019,Autumn,1,3
SLASS,ENG,BA - English Language Teaching,6,2019,Autumn,1,3
SLASS,ENG,BA - English Literature,17,2019,Autumn,1,3
SoB,BBA,BBA - Accounting,36,2019,Autumn,1,3
SoB,BBA,BBA - Finance,67,2019,Autumn,1,3
SoB,BBA,BBA - General Management,42,2019,Autumn,1,3
SoB,BBA,BBA - Human Resources Management,55,2019,Autumn,1,3
SoB,BBA,BBA - International Business,30,2019,Autumn,1,3
SoB,BBA,BBA - Investment Management,2,2019,Autumn,1,3
SoB,BBA,BBA - Management Information Systems,16,2019,Autumn,1,3
SoB,BBA,BBA - Marketing,82,2019,Autumn,1,3
SLASS,SOC,BSS - Anthropology,5,2019,Autumn,1,3
SLASS,SOC,BSS - Global Studies and Governance,2,2019,Autumn,1,3
SLASS,MED,BSS - Media and Communication,16,2019,Autumn,1,3
SLS,SLS,BSc - Biochemistry,1,2019,Autumn,1,3
SLS,SLS,BSc - Biochemistry and Biotechnology,23,2019,Autumn,1,3
SECS,CSE,BSc - Computer Engineering,5,2019,Autumn,1,3
SECS,CSE,BSc - Computer Science,17,2019,Autumn,1,3
SECS,CSE,BSc - Computer Science and Engineering,158,2019,Autumn,1,3
SoB,ECO,BSc - Economics,12,2019,Autumn,1,3
SECS,EEE,BSc - Electrical and Electronic Engineering,34,2019,Autumn,1,3
SECS,EEE,BSc - Electronic and Telecommunication Engineering,5,2019,Autumn,1,3
SESM,ESc,BSc - Environmental Management,5,2019,Autumn,1,3
SESM,EMgt,BSc - Environmental Science,17,2019,Autumn,1,3
SECS,PhySci,BSc - Mathematics (Hons),1,2019,Autumn,1,3
SLS,SLS,BSc - Microbiology,9,2019,Autumn,1,3
SECS,PhySci,BSc - Physics (Hons),4,2019,Autumn,1,3
SESM,POP,BSc - Population Environment,1,2019,Autumn,1,3
SLASS,LAW,LLB - Laws (Hons),13,2019,Autumn,1,3
SESM,Phar,B.Pharm - Pharmacy,59,2019,Autumn,2,3
SLASS,ENG,BA - English Language Teaching,1,2019,Autumn,2,3
SLASS,ENG,BA - English Literature,9,2019,Autumn,2,3
SoB,BBA,BBA - Accounting,37,2019,Autumn,2,3
SoB,BBA,BBA - Finance,53,2019,Autumn,2,3
SoB,BBA,BBA - General Management,26,2019,Autumn,2,3
SoB,BBA,BBA - Human Resources Management,31,2019,Autumn,2,3
SoB,BBA,BBA - International Business,18,2019,Autumn,2,3
SoB,BBA,BBA - Investment Management,2,2019,Autumn,2,3
SoB,BBA,BBA - Management Information Systems,11,2019,Autumn,2,3
SoB,BBA,BBA - Marketing,62,2019,Autumn,2,3
SLASS,SOC,BSS - Global Studies and Governance,1,2019,Autumn,2,3
SLASS,MED,BSS - Media and Communication,5,2019,Autumn,2,3
SLASS,SOC,BSS - Sociology,1,2019,Autumn,2,3
SLS,SLS,BSc - Biochemistry and Biotechnology,9,2019,Autumn,2,3
SECS,CSE,BSc - Computer Engineering,5,2019,Autumn,2,3
SECS,CSE,BSc - Computer Science,14,2019,Autumn,2,3
SECS,CSE,BSc - Computer Science and Engineering,153,2019,Autumn,2,3
SoB,ECO,BSc - Economics,5,2019,Autumn,2,3
SECS,EEE,BSc - Electrical and Electronic Engineering,31,2019,Autumn,2,3
SECS,EEE,BSc - Electronic and Telecommunication Engineering,2,2019,Autumn,2,3
SESM,EMgt,BSc - Environmental Management,3,2019,Autumn,2,3
SESM,ESc,BSc - Environmental Science,10,2019,Autumn,2,3
SLS,SLS,BSc - Microbiology,9,2019,Autumn,2,3
SECS,PhySci,BSc - Physics (Hons),3,2019,Autumn,2,3
SLASS,LAW,LLB - Laws (Hons),24,2019,Autumn,2,3
